epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,712.608,0.36654,0.59908,0.84281,0.97985,0.99444,0.97643,0.90733,0.37782,0.29031,0.80188,5.9488e-05,5.9488e-05,5.9488e-05
42,730.209,0.36188,0.58745,0.83378,0.97658,0.99444,0.97623,0.91204,0.38199,0.29574,0.79977,5.38252e-05,5.38252e-05,5.38252e-05
43,748.108,0.35504,0.57263,0.83504,0.97455,0.99444,0.97553,0.90935,0.3765,0.29189,0.79799,4.81624e-05,4.81624e-05,4.81624e-05
44,765.755,0.35785,0.56734,0.83719,0.97529,0.99444,0.97583,0.91108,0.37759,0.28668,0.79728,4.24996e-05,4.24996e-05,4.24996e-05
45,782.653,0.35451,0.56612,0.82762,0.97702,0.99444,0.97587,0.9145,0.37785,0.2864,0.7986,3.68368e-05,3.68368e-05,3.68368e-05
46,799.552,0.35311,0.5543,0.83559,0.97845,0.99444,0.97623,0.91979,0.37055,0.28852,0.79525,3.1174e-05,3.1174e-05,3.1174e-05
47,816.578,0.34699,0.5505,0.83677,0.98019,0.99444,0.97643,0.91457,0.37192,0.281,0.79573,2.55112e-05,2.55112e-05,2.55112e-05
48,833.907,0.33885,0.54598,0.83588,0.97942,0.99444,0.97665,0.91874,0.37044,0.27678,0.7945,1.98484e-05,1.98484e-05,1.98484e-05
49,851.509,0.34507,0.5411,0.83623,0.97916,0.99444,0.9765,0.91534,0.37043,0.27594,0.79335,1.41856e-05,1.41856e-05,1.41856e-05
50,868.322,0.33916,0.53392,0.82053,0.97882,0.99444,0.97712,0.91667,0.3662,0.27326,0.79219,8.5228e-06,8.5228e-06,8.5228e-06
